hands_played,net_return,avg_return_per_hand
200,-16,-0.0800
200,+21,+0.1050
200,+24,+0.1200
200,-9,-0.0450
200,+9,+0.0450
200,-23,-0.1150
200,-1,-0.0050
200,+10,+0.0500
200,+2,+0.0100
200,+21,+0.1050
200,-3,-0.0150
200,+13,+0.0650
200,-4,-0.0200
200,+7,+0.0350
200,+10,+0.0500
200,+4,+0.0200
200,+9,+0.0450
200,+3,+0.0150
200,+11,+0.0550
200,-11,-0.0550
200,+30,+0.1500
200,+20,+0.1000
200,+26,+0.1300
200,-6,-0.0300
200,-4,-0.0200
200,+20,+0.1000
200,-19,-0.0950
200,+6,+0.0300
200,+14,+0.0700
200,-11,-0.0550
200,-12,-0.0600
200,-6,-0.0300
200,-22,-0.1100
200,+5,+0.0250
200,-11,-0.0550
200,-8,-0.0400
200,+0,+0.0000
200,-8,-0.0400
200,+3,+0.0150
200,+15,+0.0750
200,-27,-0.1350
200,+15,+0.0750
200,+18,+0.0900
200,-9,-0.0450
200,+1,+0.0050
200,+16,+0.0800
200,-44,-0.2200
200,+20,+0.1000
200,-17,-0.0850
200,-4,-0.0200
200,+30,+0.1500
200,+10,+0.0500
200,+17,+0.0850
200,-4,-0.0200
200,+21,+0.1050
200,-19,-0.0950
200,+17,+0.0850
200,+4,+0.0200
200,-17,-0.0850
200,-14,-0.0700
200,+8,+0.0400
200,-22,-0.1100
200,+8,+0.0400
200,+0,+0.0000
200,+3,+0.0150
200,-17,-0.0850
200,+20,+0.1000
200,-13,-0.0650
200,+1,+0.0050
200,-2,-0.0100
200,+4,+0.0200
200,-18,-0.0900
200,+13,+0.0650
200,-21,-0.1050
200,+1,+0.0050
200,+5,+0.0250
200,+0,+0.0000
200,-2,-0.0100
200,+19,+0.0950
200,-13,-0.0650
200,-17,-0.0850
200,+7,+0.0350
200,+5,+0.0250
200,+27,+0.1350
200,+27,+0.1350
200,+15,+0.0750
200,+29,+0.1450
200,+1,+0.0050
200,+3,+0.0150
200,+26,+0.1300
200,+37,+0.1850
200,-13,-0.0650
200,-27,-0.1350
200,-16,-0.0800
200,+5,+0.0250
200,+0,+0.0000
200,+15,+0.0750
200,+12,+0.0600
200,+17,+0.0850
200,+14,+0.0700
200,-13,-0.0650
200,+13,+0.0650
200,-20,-0.1000
200,-10,-0.0500
200,+0,+0.0000
200,+0,+0.0000
200,-24,-0.1200
200,-6,-0.0300
200,-17,-0.0850
200,+18,+0.0900
200,+38,+0.1900
200,+8,+0.0400
200,+13,+0.0650
200,+4,+0.0200
200,+18,+0.0900
200,-11,-0.0550
200,+1,+0.0050
200,+30,+0.1500
200,+20,+0.1000
200,-13,-0.0650
200,+7,+0.0350
200,+7,+0.0350
200,-6,-0.0300
200,+26,+0.1300
200,-24,-0.1200
200,+4,+0.0200
200,+17,+0.0850
200,+45,+0.2250
200,-20,-0.1000
200,+2,+0.0100
200,-1,-0.0050
200,+19,+0.0950
200,-14,-0.0700
200,+31,+0.1550
200,-3,-0.0150
200,+4,+0.0200
200,+20,+0.1000
200,-3,-0.0150
200,+48,+0.2400
200,-19,-0.0950
200,+26,+0.1300
200,+19,+0.0950
200,+6,+0.0300
200,+17,+0.0850
200,-17,-0.0850
200,+14,+0.0700
200,-13,-0.0650
200,-5,-0.0250
200,-23,-0.1150
200,+14,+0.0700
200,+38,+0.1900
200,+4,+0.0200
200,+3,+0.0150
200,+2,+0.0100
200,+9,+0.0450
200,+21,+0.1050
200,+6,+0.0300
200,+13,+0.0650
200,+8,+0.0400
200,-7,-0.0350
200,-4,-0.0200
200,-14,-0.0700
200,-30,-0.1500
200,+11,+0.0550
200,-2,-0.0100
200,-20,-0.1000
200,+1,+0.0050
200,-11,-0.0550
200,-3,-0.0150
200,+27,+0.1350
200,+11,+0.0550
200,-10,-0.0500
200,-5,-0.0250
200,-3,-0.0150
200,-2,-0.0100
200,-7,-0.0350
200,-6,-0.0300
200,+4,+0.0200
200,+16,+0.0800
200,-10,-0.0500
200,-6,-0.0300
200,+18,+0.0900
200,-3,-0.0150
200,-20,-0.1000
200,-3,-0.0150
200,-18,-0.0900
200,-3,-0.0150
200,+15,+0.0750
200,+16,+0.0800
200,-9,-0.0450
200,-6,-0.0300
200,-3,-0.0150
200,-14,-0.0700
200,+24,+0.1200
200,+12,+0.0600
200,+2,+0.0100
200,-40,-0.2000
200,+6,+0.0300
200,+3,+0.0150
200,+11,+0.0550
200,+12,+0.0600
200,+9,+0.0450
200,-7,-0.0350
200,-29,-0.1450
200,-33,-0.1650
200,-19,-0.0950
200,+4,+0.0200
200,+2,+0.0100
200,-10,-0.0500
200,+13,+0.0650
200,-10,-0.0500
200,+8,+0.0400
200,-4,-0.0200
200,-2,-0.0100
200,+11,+0.0550
200,-11,-0.0550
200,+5,+0.0250
200,-18,-0.0900
200,+18,+0.0900
200,+1,+0.0050
200,-16,-0.0800
200,+7,+0.0350
200,-3,-0.0150
200,+3,+0.0150
200,-5,-0.0250
200,+10,+0.0500
200,-4,-0.0200
200,-1,-0.0050
200,-3,-0.0150
200,+9,+0.0450
200,+8,+0.0400
200,+1,+0.0050
200,-19,-0.0950
200,+2,+0.0100
200,+10,+0.0500
200,+14,+0.0700
200,+16,+0.0800
200,-2,-0.0100
200,+11,+0.0550
200,-4,-0.0200
200,-4,-0.0200
200,-12,-0.0600
200,-1,-0.0050
200,-39,-0.1950
200,-5,-0.0250
200,+8,+0.0400
200,+0,+0.0000
200,+1,+0.0050
200,-6,-0.0300
200,-1,-0.0050
200,-4,-0.0200
200,+1,+0.0050
200,+8,+0.0400
200,+9,+0.0450
200,-7,-0.0350
200,+16,+0.0800
200,-1,-0.0050
200,+12,+0.0600
200,+11,+0.0550
200,+23,+0.1150
200,-10,-0.0500
200,-12,-0.0600
200,+7,+0.0350
200,-14,-0.0700
200,-10,-0.0500
200,-6,-0.0300
200,-3,-0.0150
200,-7,-0.0350
200,+6,+0.0300
200,-21,-0.1050
200,+2,+0.0100
200,-21,-0.1050
200,+25,+0.1250
200,+17,+0.0850
200,+2,+0.0100
200,-4,-0.0200
200,+1,+0.0050
200,-20,-0.1000
200,-3,-0.0150
200,+14,+0.0700
200,-10,-0.0500
200,-14,-0.0700
200,+20,+0.1000
200,-8,-0.0400
200,+25,+0.1250
200,+5,+0.0250
200,-23,-0.1150
200,+3,+0.0150
200,+6,+0.0300
200,-9,-0.0450
200,-4,-0.0200
200,+12,+0.0600
200,-6,-0.0300
200,+11,+0.0550
200,-35,-0.1750
200,+22,+0.1100
200,+14,+0.0700
