hands_played,net_return,avg_return_per_hand
200,+5,+0.0250
200,-22,-0.1100
200,-1,-0.0050
200,-10,-0.0500
200,+15,+0.0750
200,-4,-0.0200
200,+5,+0.0250
200,+9,+0.0450
200,+20,+0.1000
200,-10,-0.0500
200,-23,-0.1150
200,+22,+0.1100
200,+1,+0.0050
200,-11,-0.0550
200,+12,+0.0600
200,+36,+0.1800
200,-20,-0.1000
200,+25,+0.1250
200,-7,-0.0350
200,-6,-0.0300
200,+45,+0.2250
200,-17,-0.0850
200,-6,-0.0300
200,+11,+0.0550
200,+7,+0.0350
200,+8,+0.0400
200,+13,+0.0650
200,-5,-0.0250
200,-44,-0.2200
200,-10,-0.0500
200,+23,+0.1150
200,+26,+0.1300
200,+8,+0.0400
200,+52,+0.2600
200,-25,-0.1250
200,-1,-0.0050
200,-7,-0.0350
200,-6,-0.0300
200,+2,+0.0100
200,-17,-0.0850
200,+10,+0.0500
200,+14,+0.0700
200,+15,+0.0750
200,+10,+0.0500
200,-32,-0.1600
200,+5,+0.0250
200,-2,-0.0100
200,-22,-0.1100
200,-14,-0.0700
200,+20,+0.1000
200,-6,-0.0300
200,+19,+0.0950
200,+26,+0.1300
200,+6,+0.0300
200,+31,+0.1550
200,+22,+0.1100
200,-21,-0.1050
200,+3,+0.0150
200,+7,+0.0350
200,+2,+0.0100
200,-19,-0.0950
200,-23,-0.1150
200,-10,-0.0500
200,+15,+0.0750
200,-29,-0.1450
200,+1,+0.0050
200,-12,-0.0600
200,-4,-0.0200
200,-5,-0.0250
200,+33,+0.1650
200,-19,-0.0950
200,+34,+0.1700
200,+1,+0.0050
200,+1,+0.0050
200,+22,+0.1100
200,-21,-0.1050
200,+10,+0.0500
200,-22,-0.1100
200,+27,+0.1350
200,+35,+0.1750
200,+4,+0.0200
200,-27,-0.1350
200,-7,-0.0350
200,+11,+0.0550
200,-8,-0.0400
200,-6,-0.0300
200,-11,-0.0550
200,+5,+0.0250
200,+9,+0.0450
200,+10,+0.0500
200,-16,-0.0800
200,+2,+0.0100
200,-8,-0.0400
200,-2,-0.0100
200,+16,+0.0800
200,-30,-0.1500
200,+7,+0.0350
200,-38,-0.1900
200,-4,-0.0200
200,-19,-0.0950
200,-15,-0.0750
200,-1,-0.0050
200,+5,+0.0250
200,-19,-0.0950
200,+4,+0.0200
200,+10,+0.0500
200,-36,-0.1800
200,-31,-0.1550
200,-52,-0.2600
200,+5,+0.0250
200,-5,-0.0250
200,-2,-0.0100
200,-42,-0.2100
200,-9,-0.0450
200,-24,-0.1200
200,+4,+0.0200
200,+2,+0.0100
200,-15,-0.0750
200,-3,-0.0150
200,-27,-0.1350
200,-13,-0.0650
200,+26,+0.1300
200,+14,+0.0700
200,-3,-0.0150
200,-5,-0.0250
200,+12,+0.0600
200,+5,+0.0250
200,+1,+0.0050
200,+31,+0.1550
200,+41,+0.2050
200,+7,+0.0350
200,+27,+0.1350
200,+17,+0.0850
200,+8,+0.0400
200,-12,-0.0600
200,+60,+0.3000
200,-1,-0.0050
200,+21,+0.1050
200,-25,-0.1250
200,+7,+0.0350
200,+22,+0.1100
200,+2,+0.0100
200,-9,-0.0450
200,+4,+0.0200
200,-29,-0.1450
200,-4,-0.0200
200,+30,+0.1500
200,-7,-0.0350
200,+9,+0.0450
200,-2,-0.0100
200,-7,-0.0350
200,+24,+0.1200
200,-13,-0.0650
200,-10,-0.0500
200,+7,+0.0350
200,-25,-0.1250
200,+28,+0.1400
200,+1,+0.0050
200,+8,+0.0400
200,+29,+0.1450
200,+11,+0.0550
200,+4,+0.0200
200,+7,+0.0350
200,-19,-0.0950
200,-1,-0.0050
200,+12,+0.0600
200,+11,+0.0550
200,+10,+0.0500
200,+14,+0.0700
200,+35,+0.1750
200,+11,+0.0550
200,+36,+0.1800
200,+28,+0.1400
200,-25,-0.1250
200,-27,-0.1350
200,+8,+0.0400
200,+21,+0.1050
200,+22,+0.1100
200,+17,+0.0850
200,+14,+0.0700
200,-12,-0.0600
200,-15,-0.0750
200,-23,-0.1150
200,-12,-0.0600
200,+21,+0.1050
200,-6,-0.0300
200,+13,+0.0650
200,-11,-0.0550
200,+22,+0.1100
200,-5,-0.0250
200,+46,+0.2300
200,-13,-0.0650
200,+4,+0.0200
200,+3,+0.0150
200,-11,-0.0550
200,-38,-0.1900
200,-31,-0.1550
200,+16,+0.0800
200,+15,+0.0750
200,+5,+0.0250
200,-22,-0.1100
200,+18,+0.0900
200,+3,+0.0150
200,+11,+0.0550
200,-33,-0.1650
200,+23,+0.1150
200,+3,+0.0150
200,+17,+0.0850
200,+16,+0.0800
200,+35,+0.1750
200,+2,+0.0100
200,+40,+0.2000
200,-4,-0.0200
200,-15,-0.0750
200,+39,+0.1950
200,+9,+0.0450
200,+10,+0.0500
200,+19,+0.0950
200,-14,-0.0700
200,+3,+0.0150
200,-1,-0.0050
200,+6,+0.0300
200,-13,-0.0650
200,-11,-0.0550
200,+15,+0.0750
200,+24,+0.1200
200,+28,+0.1400
200,+17,+0.0850
